Subject,Relation,Object 
గ్రామంలో ప్రభుత్వ,ఉన్నాయి,ఒకటి
బాలబడి మాధ్యమిక,ఉన్నాయి,బాదాపురంలో
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల మార్కాపురంలోనూ
సమీప వైద్య,ఉన్నాయి,కళాశాల గుంటూరులోను కళాశాల మార్కాపురంలోనూ
సంచార వైద్య,లేరు,శాలలో
డిగ్రీ డాక్టరు,ఉన్నారు,ఒకరు
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
జిల్లా రహదారి,పోతోంది,గ్రామం
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
శ్రీ వల్లీ,ఉన్నది,సమీపంలో
నేడు బద్వేలు,విరాజిల్లుచున్నది,నియోజకవర్గముగా
ఇక్కడి రాష్ట్రంలోని,గలదు,ప్రదేశాలకు
26న ఆంధ్రప్రదేశ్,ప్రారంభించినారు,చంద్రబాబునాయుడుగారు
వేసవి వచ్చిందంటే,పేరొందింది,విక్రయంలో
మట్టి పాత్రల,ఉంటుంది,పరిమాణం
గ్రామాల్లో మట్టిపాత్రలను,వినియోగిస్తున్నారు,వంటలకు
కుండ బాన,పేరొచ్చింది,వీధికి
మాయలూరు కర్నూలు,గ్రామము,జిల్లా మండలానికి
వైద్య కళాశాల,ఉన్నాయి,కర్నూలు
పారామెడికల్ సిబ్బంది,ఉన్నారు,ఒకరు
గ్రామంలో కుళాయిల,జరుగుతోంది,సరఫరా
కాలువ వాగు,లభిస్తుంది,గ్రామానికి
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
మురుగు నీటిని,వదులుతున్నారు,వనరుల్లోకి
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,గంటల కోసం
వర్షాధారంగా నీటిని,అంటారు,నిలువ కోన
కోనలో జలపాతం,ఉంటుంది,పల్లానికి
కోనలో ఎల్లప్పుడు,ఉంటుంది,ఎండాకాలంలో
కోన ప్రాంతం,నిర్మించారు,సౌకర్యాలకు కోనలో
కోనలో నీరు,ఉపయోగపడుతుంది,నిరంతరం చోట
దేవాలయం కోన,అంటారు,ప్రాంతంలో
కోనలో పైనుంచి,ఉంటుంది,అగ్రభాగానికి
కోనలకు కోనలో,ఉంటుంది,ప్రాంతంలో
కోన కొండకు,ఉంటుంది,పర్వతానికి
ప్రవేశికనువికీపీడియా ప్రమాణాలకు,చెయ్యండి,అనుగుణంగా
ఆసనాల శారీరక,అవుతాడు,రంగాల్లో
సైన్స్ డిగ్రీ,ఉన్నాయి,కళాశాల తాండూరులోనూ
సమీప మేనేజిమెంటు,ఉన్నాయి,కళాశాల కళాశాల వికారాబాద్లోనూ
వృత్తి విద్యా,ఉన్నాయి,హైదరాబాదులోనూ
పారామెడికల్ సిబ్బంది,ఉన్నారు,ఒకరు
గ్రామంలో కుళాయిల,అవుతోంది,నీరు
గ్రామంలో ఏడాది,అందుతుంది,చేతిపంపుల
మురుగునీరు బహిరంగ,ప్రవహిస్తుంది,కాలువల
గ్రామంలో పారిశుధ్య,అమలవుతోంది,పథకం
వ్యర్థాలను వ్యవస్థ,లేదు,ఇంటింటికీ
గంటల వ్యవసాయానికి,చేస్తున్నారు,కోసం
ఇందూర్లో వ్యవసాయానికి,జరుగుతోంది,వనరుల
ప్రత్తి కంది,ఉంటాయి,గ్రామానికి
వీరభద్రేశ్వర దేవాలయం,ఉంటుంది,మతసామరస్యానికి
వేపకంపల్లి గుంటూరు,గ్రామము,జిల్లా
బాబు తెలుగులో,ఒకడు,చిత్రకారులలో
ఇతను వ్యంగ్య,చిత్రించటమే,చిత్రాలను
వార పత్రికలలో,గీస్తుంటారు,ఆపైన చిత్రాలను
కొలను వెంకటదుర్గాప్రసాద్,జన్మించారు,విజయవాడలో 1న
పేరును వెంకటరమణ,నిర్ణయించారట,దుర్గాదేవి భక్తితో
ఇంట్లో అందరూ,పిలిచేవారు,ముద్దుపేరుతో
సినిమా ప్రచార,పనిచేశాడు,కార్యక్రమంలో
కేంద్రప్రభుత్వ ఉద్యోగంలో,గ్రూప్,సంవత్సరంలో
బి 2006లో,నివాసముంటున్నాడు,సీతారాంపురంలో
దేవి శ్రీవల్లి,మొదలుపెట్టాడు,రంగంలో రోజులలో మార్గదర్శనంలో ఆడుగుజాడలలో ఏకలవ్య
మొట్టమొదటి కార్టూన్,ప్రచురితమయ్యింది,సంచికలో
డజన్ల వ్యంగ్య,ప్రచురించాడు,చిత్రాలు
ఆంధ్ర పత్రిక,ప్రొత్సహించాడు,ఇతడిని
ఇ వేమన,వచ్చాడు,సంవత్సరాలపాటు ప్రాచుర్యంలోకి
బారిష్టర్ పార్వతీశం,వేశాడు,బొమ్మలు
మాస పత్రికలలోనే,వేశాడు,ఆంగ్లంలో కార్టూన్లను
కార్టూనిస్ట్ జయదేవ్‌తో,బాబు,కలసి
జపాన్ బెల్జియం,ప్రదర్శించారు,దేశాలలో పోటీలలో కార్టూన్లను
అన్నిటికంటే సన్మానం,మురిసిపోతాడు,కార్టూన్‌ను
ఉద్యోగంనుండి పదవీ,ప్రచురిస్తున్నాడు,పత్రికలో కార్టూన్లను
బాబు ప్రస్తుతం,కలుగచేస్తున్నాడు,పాలనలో పాఠకులకు
బాపు తెలుగు,బాబు,చిత్రాలకు తెలుగులో
ఆగీతాకారుడైన శ్రీ,చెప్పుకున్నారు,కృతజ్ఞతలు
స్ఫూర్తిగా స్నేహపూర్వక,తెచ్చుకున్నారు,తత్వంతో విభాగానికి
వాడుకను బాబు,జయదేవ్,తలతో
చిలిపితనంలో కొత్త,జయదేవ్,ఆసక్తిలో రేఖాచిత్రంతో
అగ్రగామి వ్యంగ్య,వాడుతుంటారు,చిత్రానికి
బాబు పొడి,పిలిచేవారట,చిన్నతనంలో
కార్టూన్‌లో అవసరమో,చిత్రీకరిస్తాడు,వివరాలను
ఆర్భాటాలు ఇతని,ఉండవు,కార్టూన్లలో
వ్యంగ్య చిత్రకారులు,ఉంటారు,కార్టూన్లలో హాస్యాన్ని
బాబు విషయం,ఏకవిషయ,ఏదో
కార్టూన్లు నవ్వు,చేస్తాయి,చదువరిని
గ్రామీణ ప్రాంతాలలోని,రచించాడు,పాఠశాల విద్యార్థులలో
చిత్రాలు యూ,లభ్యమవుతున్నాయి,ట్యూబ్లో
అక్టోబర్ 2019,మరణించారు,విజయవాడలో స్వగృహమునందు
బాబు కార్టూన్ల,ఒకటి,చిత్రాలలో
బైరాగుల మిత్రత్వం,సంకలనం,సంవత్సరంలో విజయవాడ
ఇండో యూరోపియను,భాషలు,కుటుంబానికి
ఇవి కాలము,అభిప్రాయము,అన్నీ
భాషలలో చైనీసు,చెందినవే,కుటుంబమునకు
భాషా కుటుంబమును,విభజించారు,కుటుంబములుగా
భాషలోని కంఠ్య,ఆధారం,భాషలలో
శతం భాషలలో,ఉష్మీకరింపబడ్డాయి,శబ్దాలకు
కెంతం భాషల,పరిగణించకూడదు,వర్గ
యూరోపియన్ భాషలు,ఇండో,ఔపత్తిక
మాసాల్లోను కార్తీక,చెబుతున్నాయి,మాసానికి
పౌర్ణమి రోజున,చేరుతాయి,శివాలయాల్లో
మహన్యాసక పూర్వక,చేయించినట్లైతే,రుద్రాభిషేకాలను
రోజున సన్నిహితులకు,లభిస్తుంది,కార్తీక
నది దగ్గరలో,చేయవలయును,నదిలో ప్రాతఃకాలమున
శివ విష్ణు,వెలిగిస్తారు,దీపాలు
విష్ణు ఆలయాల్లో,వెలిగించాలి,సన్నిధిలోనూ ప్రమిదల్లో ఉసిరికాయలమీద పిండితో ప్రమీదలలో
దీపాలను కుంకుమ,వెలిగించాలి,పూలతో
శివాలయాల్లో ధ్వజస్తంభం,వేలాడదీస్తారు,పేరుతో పేరుతో ప్రదేశాల్లో భరిణలతో
అరటి దొన్నెల్లో,పెడతారు,చెరువులలో నదులలో వనరుల్లో
వైజ్ఞానిక చూడగా,చేకూరుతుంది,కార్తీక వాతావరణంలో
పాండ్యుడు కుముద్వతి,చేసుకున్నారు,శివుని
ఆరాధనలోని చిన్నలోపంవల్ల,శివుడు,వరం
పూర్ణాయుష్కురాలు విధవ,దంపతులు,కుమారుణ్నే
వయసు గుబులూ,జోరెత్తుతోంది,వారిలో
సమయంలో శివభక్తి,దృష్టిపడింది,రాజకుమార్తెపై
వివాహమైన భర్తకోసం,సాధ్వి,కొన్నాళ్లకే విషయం
తక్షణమే తనభక్తి,కథనం,ప్రభావంతో శివుని భర్తను
సాధ్యం,కాదన్నాడు,బ్రహ్మ
రథంకాని రథంమీద,కోరారు,విల్లుతో సరళరేఖలోకి బాణంతో వరం
బలంతో పట్టణాలతో,సృష్టిస్తున్నారు,కల్లోలం
విష్ణువు తనకా,వెళ్లాడు,దగ్గరకు
శక్తి సామర్ధ్యాలను,పొందుతారు,కటాక్షాలు
నిష్ఠతో శుభఫలితాలు,ఉంటాయి,వీరిని
పూసర్ల వెంకట,విజేత,వాలీబాల్‌లో
1986 ఆసియా,సభ్యుడు,క్రీడల్లో పతకాన్ని
రమణ సొంత,పనిచేసేవారు,డిపార్ట్‌మెంట్‌లో
తండ్రి ఉద్యోగ,ఉన్నాడు,నిడదవోలులో కాలం
ప్రస్తుతం స్పోర్టు,చేస్తున్నారు,రైల్వే సికింద్రాబాదులో
జవహర్ లాల్,పనిచేసింది,నెహ్రుకి సారి ప్రధానమంత్రికి సెకట్రరీగా
లాల్ బహదుర్,పనిచేసింది,మండలిలో
సంపదలకు నెలవైన,ఉండేవారు,ఇంటికి
కమలా నెహ్రూ,పడింది,అత్తవారింటికి
మోతీలాల్ కుటుంబంలోని,పడినవారు,సాంప్రదాయానికి
అప్పటికే నేషనల్,ఉన్నాడు,సభ్యునిగా
1919లో పంజాబ్,బలయ్యారు,తరుణంలో వేలమంది
ఖరీదైన విదేశీ,తగులబెట్టాడు,వస్తులనన్నింటినీ
తరుణంలో మోహన్‌దాస్,వచ్చాడు,ఇంటికి
ఇల్లు స్వాతంత్ర్య,మారింది,పోరాటంలో
ఆమె తల్లి,దూకారు,స్వాంతంత్ర్యం కదనరంగంలోకి
చిన్నారి ఇందిర,వదిలివేసింది,సైతం బొమ్మలను
ఇప్పటి భోగ,సంపాదించుకున్నారు,భాగ్యాలకు చరిత్రలో
తండ్రి జవహర్,వ్యక్తి,రాజకీయాలలో
తాత మోతీలాల్,ప్రముఖుడు,నెహ్రూ అలహాబాదులో నాయకులలో
సమైక్యతను అవసరం,ఏర్పడింది,వారిలో
దీనికి శరీరంలోని,కావాలి,అవయవంలోనూ నాయకులు
బాల గంగాధర్,పూనుకున్నారు,పనికి
జవహర్‌లాల్ నెహ్రూ,వచ్చేది,జైలుకు వళ్ళవలసి
మోతీలాల్ జైలుకు,అనుభవించేది,ఒంటరితనాన్ని
చిన్నారి సంఘటనలను,మలుచుకుంటుంది,వ్యక్తిత్వాన్ని
తాను ఆటలు,ఉండేవి,సైతం సంఘటనలకు
ఇందిర ఆటలో,ఆడుకొనేది,తాను
ఆమె ఆటలు,చేసాయి,వారితో
ఒకరికి వార్తలు,ఉండేది,ఒకరి
సామయంలో ఇందిర,చేసింది,స్నేహితులతో
వార్తనలను జెండాలను,చేసేవారు,చర్యలపై పనులను
వానరసేనకు ఇందిర,ఉండేది,నాయకత్వం
""" మనం",ఉండేది,స్వాతంత్ర్యం
గాంధీజీ నిరాహార,తెలియజెప్పేది,దీక్షలో పక్కనే
ఆమె విద్యార్థినిగా,వచ్చేది,సమయంలో జైళ్ళకు
తండ్రి నెహ్రూ,రాసేవారు,సమయంలో జైలులో
కుమార్తె ఇందిరను,ఉత్తీర్ణురాలయింది,ప్రియదర్శిని విశ్వవిద్యాలయం పరీక్షలో
రవీంద్రనాథ్ ఠాగూర్,చేరింది,శాంతినికేతన్
జైలుకు కమలా,చెడిపోయింది,ఆరోగ్యం
చికిత్స స్విడ్జర్లాండ్,వెళ్ళారు,ఆమెను
తల్లికి ఆమె,చేరింది,స్కూలులో
చికిత్స కమలా,కుటుదపడలేదు,ఆరోగ్యం
తల్లి మరణం,నిర్ణయించాడు,ఒంటరితనం ఐరోపాలోనే
చదువు ఆమెకు,నిర్ణయించుకుంది,రీతిలో ఆశయానికి
పశ్చిమ విద్యను,వదిలించుకుంది,అభ్యసిస్తూ తనలోని ఒంటరితనాన్ని
ఇంగ్లండు లోని,చేరింది,ఆక్స్‌ఫర్డ్ విశ్వవిద్యాలయం సోమర్ కళాశాలలో లండనులో
లండన్ లోని,ఏర్పడింది,విశ్వవిద్యాలయంలో
ఫిరోజ్ స్నేహం,పోగొట్టింది,తనాన్ని
ఫిరోజ్ పరిచయము,తీసింది,పరిణయానికి
ఫిరోజ్ గాంధీ,స్నేహితుడు,కుటుంబానికి
ఫిరోజ్ పూర్వీకులు,స్థిరపడ్డారు,పర్షియా భారతదేశానికి
నెహ్రూ కాశ్మీరీ,చెందింవవారు,కుటుంబానికి
నెహ్రూ ఇందిర,కోరాడు,నిశ్చయాన్ని గాంధీ సలహాని ఇందిరను
గాంధీ ప్రేమను,కోరాడు,చేసుకుని వివాహానికి నెహ్రూను
1942లో క్విట్,మొదలయింది,ఇండియా ఉద్యమం
జవహర్‌లాల్ నెహ్రూ,అయ్యారు,జైలు
బ్రిటిష్ పోలీసు,అణచివేసారు,బలంతో సమ్మెలను
నేపధ్యంలో ఆమె,1943,జైలుకు
జైలులో ఆమె,అయింది,పిల్లవాడికి తల్లి
పిల్లవాడికి రాజీవ్,పెట్టింది,పేరు
రాజీవ్ గాంధీకి,వెళ్లారు,సంవత్సరాల లక్నో
నేషనల్ హెరాల్డు,పనిచేసేవాడు,సంపాదకునిగా
రాజీవ్ గాంధీకి,జన్మించాడు,తమ్ముడు గాంధీ
భర్తతో అలహాబాదులో,జీవించింది,అలహాబాదును ఢిల్లీ తండ్రితో
1951లో సార్వత్రిక,గెలిపించింది,నియోజకవర్గంలో తరఫున
ఇందిర సంవత్సరాలపాటు,చుట్టింది,జీవితానికి
కాంగ్రెస్ పార్టీ,వచ్చేది,ప్రచారంలోను
ఆమె ఉపన్యాసం,ఆకట్టుకునేవి,అందరినీ
కాంగ్రెస్ కార్యకర్తలు,ఫిబ్రవరి,ఆమెను
న భారత,ఎన్నుకున్నారు,అధ్యక్షురాలిగా
అభద్రతా భావాన్ని,కలుగజేసింది,ఆమెలో
నెహ్రూగారి స్నేహితులతోను,ప్రారంభించింది,నాయకులతోనూ సంభాషణలలో
1962 చివరిలో,గురయ్యింది,భారత సరిహద్దుపై అస్సాంలో దాడికి
చైనా వెనక్కి,చెప్పారు,తేజ్‌పూర్ వెన్నంటి ప్రజలకుక్
ఆమె రోజే,మొదలుపెట్టారు,సేనలను
చైనా సమస్య,అయ్యాడు,అలసటకు ఒత్తిడికి
వ్యతిరేకంగా ప్రచారం,మొదలుపెట్టారు,ఆయనకు
నెహ్రూకు చర్యలను,లేకపోయింది,వీటికి
ఇందిర తండ్రి,గమనించింది,పరిస్థితిని
నెహ్రూ వద్దకు,ప్రారంభించాడు,పరిష్కారానికి
కాంగ్రెస్ పార్టీ,పెంచాయి,అధ్యక్షురాలిగా
కామరాజ్ ప్లాన్,తెలిపింది,1963లో మద్దతు
వయసు ముదిరిన,అవకాశమివ్వాలి,యువకులకు
సీనియర్ నేతలను,కోరారు,ఎందరో రాజీనామా
మొట్టమొదటిగా జవహర్‌లాల్,ప్రకటించారు,ప్రధాని పదవికి రాజీనామా
ఎవరైతే పదవిని,అంగీకరించలేదు,నెహ్రూని రాజీనామాకు
1963 ఆగస్టు,వైదొలగారు,పార్టీ
వ్యూగం పన్ని,ఎదుర్కొన్నాడు,పార్టీలో
నెహ్రూని తానొక,ఇందిరాగాంధీ,యుక్తితో
దెబ్బతో నెహ్రూని,కరిపించారు,నాయకులనందరినీ
ఆమె నాయకత్వాన్ని,నడుపుతున్నారు,ప్రభుత్వాలను
సువర్ణావకాశమైనా,వినియోగించుకోలేకపోయింది,దానిని
ఆమె తండ్రికి,ఉండిపోయింది,సపర్యలు వద్దే
నెహ్రూ ఆరోగ్యం,మొదలుపెట్టారు,పదవికి
శ్రేయోభిలాషులు నెహ్రూ,సూచించారు,వారసుడిని
అవసరం తనకేం,చెప్పాడు,త్వరలో
మే 27న,విడిచాడు,తుదిశ్వాస
నెహ్రూ మరణం,అధిష్టించాడు,పదవిని
శాస్త్రిగారు ఇందిరా,కోరాడు,ప్రధానిగా
నెహ్రూకు ఆఖరి,తిరస్కరించింది,దశలో
శాస్త్రిగారు మంత్రిత్వ,అంగీకరించింది,శాఖనైనా
ఆమె రాజ్యసభ,చేపట్టింది,మంత్రివర్గంలో
హిందీ భాషను,నిర్ణయించారు,వారిపై
దీనికి వ్యతిరేకంగా,మొదలుపెట్టారు,దక్షిణ సమ్మెను
ఇందిర హిందీ,శాంతింపజేసింది,వెళ్ళి అక్కడివారికి
1964 ప్రధాని,మరణించాడు,నగరంలో గుండెపోటుతో
శాస్త్రి ప్రధాని,తలెత్తింది,పార్టీలో
మొరార్జీ దేశాయ్,పడుతున్నారు,ఇందిరాగాంధీకి పదవికి
చివరకు మొరార్జీ,మిగిలారు,దేశాయ్ పోటీలో
కాంగ్రెస్ అధ్యక్షుడు,తెలిపాడు,ఇందిరాగాంధీకి మద్దతు
ఆమె స్వాతంత్ర్య,ఆదర్శం,సమరయోధుల ప్రపంచ నేతలతో
పార్టీలో మొరార్జీ,వినిపించారు,గళాన్ని
ప్రధాన మంత్రి,355,పదవికి పోటీలో
మొరార్జీ దేశాయ్,అభివర్ణించాడు,బొమ్మ
సరైనది ఇందిర,నిరూపించింది,చర్యల
ఆమె ధైర్యం,చేసాయి,పదవిలో
ఆమె ప్రధాని,బహిరంగపరచలేదు,పదవిని చర్యలను ఆలోచనలను
స్త్రీ శక్తిని,గమనిస్తోంది,అనుభవంతో
అంచనాలను తల్లక్రిందులు,నిరూపించుకుంది,సమర్థతను
ఆమె భాద్యతలను,ప్రకటించింది,కొత్తలోనే
పాత పద్ధతులకు,చెప్పింది,పద్ధతులకు యువతరానికి
తాను కార్యాలయానికి,వినేది,నలుమూలల సమస్యలను
చర్యలను,ఆదేశాలిచ్చేది,వాటిని అంతటితో వాటికి
సిక్కుల కోరిక,చేసింది,హర్యానా రాష్ట్రాన్ని
ఏర్పాటుకు ఒప్పుకోని,అణచివేసింది,దానిని
కాటకాలు ఆమె,సారించింది,దిగుమతిపై
దృష్టిని,కేంద్రీకరించింది,వీటి
పశ్చిమ దేశాల,ఆశించింది,పరిస్థితిని
సామర్థ్యం ఆశ్చర్యం,మానదు,వారికి
అమెరికా అధ్యక్షుడు,జరిపింది,అధికారులతోను
ఆమె భారత,ఆకట్టుకుంది,గౌరవానికి ఉన్నతికి
మొరార్జీ దేశాయ్ని,ప్రసాదించింది,సంతృప్తి ఆర్థిక పదవులను
అంతర్గత పోరాటాల,కోల్పోవాల్సివచ్చింది,ఎన్నికలలో స్థానాలను
దీనికి అసలు,ఉండటం,సామాన్యునికి
వ్యాపారవేత్తలు జమీందారీ,పడ్డారు,పదవికై
ఆమె తెలివితేటలతో,విరమింపజేసింది,ఆనిని పోటీ
మొరార్జీ దేశాయ్,చేపట్టాడు,ప్రధానిగా భాద్యతలు
అంతే నేతృత్వంలో,నిర్వహించింది,శాఖను
ఆమె ప్రధాని,అలంకరించింది,పీఠాన్ని
అధ్యక్షుడు సర్వేపల్లి,కావచ్చింది,రాధాకృష్నన్
కాంగ్రెస్ అతనినే,అనుకున్నారు,పదవిలో
ఇందిర ఉపాధ్యక్షుడు,చేసింది,పదవికి
ప్రతిపక్షాల ఛీఫ్,చేసారు,సుబ్బారావుగారిని
జాకీర్ హుస్సేన్,సిద్ధపడింది,ఓటమి అందుకు
జాకీర్ హుస్సేన్,నెగ్గాడు,పోటీలో
ఇజ్రాయిల్ అరబ్బు,తెప్పించింది,దేశాలకు
పద్ధతులను ఆలోచనా,మార్చుకోలేదు,పంథాను
జాకీర్ హుస్సేన్,మారింది,1969లో
ఆమె వ్యతిరేకులు,పెట్టారు,ఆమెను ఎలాగైనా ప్రయత్నంలో పదవికి పోటీలో
గిరి పోటీలో,అధ్యక్షుడయ్యాడు,నెగ్గి
మొరార్జీ ఆర్థిక,వి,శాఖను 1969లో
బ్యాంకుల జాతీయకరణం,పెంచుకుంది,మన్ననల పార్టీలో
జరుగుతున్న సంఘటనలతో,నిశ్చయించుకున్నారు,పార్టీనుండి
ఇందిరపై అవిశ్వాస,శపెట్టారు,తీర్మానాన్ని
పార్లమెంటులో పార్టీలు,మద్దతునిచ్చారు,ఆమెకు
జమీందారీ వ్యవస్థ,వీగిపోయింది,రద్దుకై ప్రవే లోక్‌సభలో రాజ్యసభలో
అధ్యక్షుని జమీందారీ,చేయిందింది,ప్రకటన
జమీందారులు కాంగ్రెస్,మొదలుపెట్టారు,మద్దతుతో
ఇందిరా గాంధీ,చేసింది,ఓట్లతోనే శత్రువులకు
1971 ఫిబ్రవరిలో,నిర్ణయించింది,ఎన్నికలు
కాంగ్రెస్ పార్టీ,పరిపాలించింది,1969లో
ఇందిరాగాంధీని పదవీచ్యుతిరాలిని,పెట్టారు,ఎలాగైనా నినాదంతో
మైళ్ల పర్యటనలో,కలుసుకుంది,ప్రజలను
కళ్ళు ఆనందంతో,మెరిసాయి,ఆమెను
మూడవసారి ప్రధాని,చేపట్టింది,పదవిని
బలగాలు అల్లర్లను,మొదలుపెట్టారు,భారతదేశంలోకి
ముక్తి బహిని,పోరాడుతున్నారు,పాకిస్తాన్ విముక్తికై
వారికి మద్దతును,పంపించింది,దేశ సైన్యాన్ని వారికి
మనదేశ సైన్య,చేసారు,సహకారంతో ఆవిర్భావానికి
కాలంలో రాజభరణాల,చేపట్టింది,దేశంలో
1971 పాకిస్తాన్,ఆకర్శించింది,యుద్ధంలో దృష్టిని
1974లో రాజస్థాన్,గురైంది,లోని పోఖ్రాన్లో కన్నెర్రకు
అంతేకాదు చర్య,పడింది,కార్యక్రమానికి
ప్రజలలో పేరు,ఎదిగింది,దృష్టిలో
ఆర్థిక వ్యవస్థలో,కారణాలయ్యాయి,అసహనానికి
1971లో అమేథీ,చెల్లదని,నియోజకవర్గంలో నారాయణ్ ఇందిరాగాంధీ పిటీషన్‌పై
సంవత్సరాల ఇందిరాగాంధీ,ఇచ్చింది,కార్యక్రమాల్లో 1975లో తీర్పు
ప్రతిపక్ష నాయకులు,కోరదలిచారు,ఇందిరకు
సంగతిని ఇందిర,ఆలోచిందింది,పరిస్థితిని అదుపులోకి
దేశంలో శాంతి,చేసింది,వారిని
1975 జూన్,నిర్ఘాంతపోయారు,ప్రజలనందరినీ రేడియోలోను దూరదర్శన్‌లోనూ
ఆమె తండ్రి,పనిచేసారు,నెహ్రూతో
ఎమర్జెన్సీ ఆమె,బోధపడలేదు,ప్రజలెవ్వరికీ
విదేశీ పత్రికలకు,ఆదేశించారు,జర్నలిస్తులను దేశం
మొరార్జీ దేశాయ్,పెట్టలేదు,జైలులో
అసాంఘిక శక్తులు,పెట్టారు,స్వప్రయోజనాలకు జైళ్ళలో
ఎమర్జెన్సీ కాలంలో,జరిగింది,కార్యాలయాల్లో ఆఫీసులకు
పంచ వర్ష,ఆకాంక్ష,ప్రణాళికలతో దేశాన్ని అభివృద్ధి
అసలు ప్రణాళికల,లేదు,ఆశయం
గాంధీ గారి,రూపొందించింది,సూత్రాన్ని పథకాన్ని
సుత్రాల పథకాన్ని,సూచించింది,కేంద్రమంత్రులకు
ప్రతిపక్ష నాయకులు,ఆరోపించారు,దీనిలో
విదేశాల్లో స్వాతంత్ర్య,వ్యతిరేకించారు,పోరాటానికి చర్యను
వ్యతిరేకత ఆమెకు,చేసింది,మనశ్శాంతిని
భావాలను అలవాటు,అయ్యింది,వారితో
ఆగస్టు 15న,రేకెత్తించింది,సందేహాలను
నమ్మకం,జరిగింది,ప్రతివారిని
సమయంలో ఆమె,నిలిచాడు,ఆమెకు గాంధీ
తండ్రి అనుకున్నది,అందుకున్నాడు,వీటికి
యువజన కాంగ్రెస్,ప్రకటించాడు,దద్దతును ఇందిరకు
సంజయ్ గాంధీ,ప్రారంభించాడు,పథకాన్ని
సంజయ్ గాంధీ,సందర్భాలున్నాయి,చర్యల విషయాలలో
వారిలోకొందరు సంజయ్,తెలియజేసారు,ఇందిరకు
అభిమానానికి,మిన్నకున్నారు,ఆమెకు దూరమవుతామని
సంజయ్ గాంధీ,తగ్గించాఇ,పరిపాలనలో
1977లో ఎన్నికలలో,ఓడిపోయింది,ఇందిరాగాంధీ
సన్నిహితులు ఎమర్జెన్సీ,హెచ్చరించారు,ఆమెను
ఎమర్జెన్సీ అమలులో,ఉండదు,అవినీతికి
1977లో పరిస్థితిని,ప్రకటించింది,ఎన్నికలను
జనవరి 30న,వెళ్ళారు,వద్దకు
చాలాకాలం ప్రజలు,చేసారు,వారిని
పరిస్థితి పరిణామం,బయటపడింది,ఎన్నికలలో రూపంలో
ఇందిరా గాంధీ,ఓడిపోయింది,బరేలీలో పార్టీకి చేతిలో
మార్చి 22న,చేసింది,పదవికి రాజీనామా
భేదాభిప్రాయాలు ఇందిరను,చేసింది,పదవీచ్యుతురాలిని
విడుదల కోర్టు,ఆదేశించింది,ఆమెను
ప్రజలలో జనతా,కలుగజేసింది,పార్టీ అవిశ్వాసాన్ని
ఆంధ్రప్రదేశ్ కర్ణాటక,చేసింది,విజయభేరి ప్రభుత్వాలను
ఇందిర పార్లమెంటు,ఎన్నికయింది,సభ్యురాలిగా
కర్ణాటక లోని,సాధించింది,చిక్‌మగలూరు లోక్‌సభకు పోటీ విజయం
ఆమె పదవిలో,ఉంచారు,అధికారులను ఆమెను తీహార్ జైలులో
తాను విడుదల,తయారుచేసింది,ఉండే ప్రణాళికను
మొరార్జీ దేశాయ్,ఆకాశాన్నంటాయి,పరిపాలనలో
అదను ప్రతిపక్షమైన,శపెట్టారు,తీర్మానాన్ని
దానిలో దేశాయ్,చేసాడు,పదవికి
ఇందిరా కాంగ్రెస్,చేపట్టాడు,మద్దతుతో ప్రధానిగా పదవిని
రోజులు పాలనను,ఉపసంహరించుకుంది,అతనికి మద్దతును
ఇందిర ప్రజలలో,ఇచ్చింది,సుడిగాలివలె సమస్యల పరిష్కారానికి వారికి మాట
లోక్‌సభ ఎన్నికలలో,నిరూపించుకున్నది,స్థానలకు సీట్లు
ఆమె ప్రదేశ్,గెలుపొందింది,నియోజకవర్గం ఆధిక్యతతో
1980 జనవరిలో,చోటిచ్చింది,మంత్రివర్గంలో సభ్యులకు
మంత్రి పదవి,ఇవ్వలేదు,ఎంతమందికి అవకాశం
1979 కరువు,చేసాయి,అస్సాంలో నివాసమేర్పరచుకొని
రాష్ట్రాలు జనతాపార్టీ,మారింది,పాలనలో చక్క
1980 ఫిబ్రవరి,విధించింది,13న రాష్ట్ర పాలన
మంత్రివర్గంలోని మంత్రులకు,చేసింది,రంగాల్లో
దేశ పరిస్థితిని,రాసాగింది,అదుపులోకి
ఉగ్రవాదులు పంజాబ్,నిర్ణయించారు,స్వర్ణదేవాలయం ఉద్యమాన్ని
బింద్రన్ వాలే,మరణించారు,నాయకత్వంలో జరుగుతున్న సహాయంతో
1980 జనవరిలో,ఎదురైంది,పదవిని
కష్టాన్ని కడుపులో,ప్రదర్శించింది,గాంభీర్యాన్ని
ఆమె కుమారుడు,అందించాడు,పైలట్ ఉద్యోగానికి మరణంతో
